,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
267,Departamento en Venta Cancún Zona Hotelera/las Olas,https://www.inmuebles24.com/propiedades/departamento-en-venta-cancun-zona-hotelera-las-olas-57036921.html,"Departamento en Venta  Cancún  Zona Hotelera/las Olas,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,100,000",38934000.0,330,330,3,,,57036921
268,Preventa en Puerto Cancún H (Dic 2019),https://www.inmuebles24.com/propiedades/preventa-en-puerto-cancun-h-dic-2019-53834749.html,"Puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 466,000",8639640.0,113,113,3,,3,53834749
269,Departamentos de Lujo de 2 Recámaras Vistas Al Mar,https://www.inmuebles24.com/propiedades/departamentos-de-lujo-de-2-recamaras-vistas-al-mar-56485333.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,500,000",13500000.0,226,226,2,,2,56485333
270,Departamento en Cancun Venta,https://www.inmuebles24.com/propiedades/departamento-en-cancun-venta-56855175.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,000,000",37080000.0,290,290,3,,2,56855175
271,Villas Tropical,https://www.inmuebles24.com/propiedades/villas-tropical-56000065.html,"Villas Tropical,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 350,000",6489000.0,200,1802,2,,2,56000065
272,"Departamento con Vista Al Mar en Venta en Puerto Cancún, Allure",https://www.inmuebles24.com/propiedades/departamento-con-vista-al-mar-en-venta-en-puerto-56808964.html,"Departamento con Vista al mar en Venta Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 21,273,536",21273536.0,,,4,,2,56808964
273,Espectacular Departamento,https://www.inmuebles24.com/propiedades/espectacular-departamento-56169509.html,"Espectacular Departamento,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 950,000",17613000.0,214,214,2,,2,56169509
274,Departamento de Lujo en Venta en Punta Cancun,https://www.inmuebles24.com/propiedades/departamento-de-lujo-en-venta-en-punta-cancun-56299207.html,"Departamento DE Lujo EN Venta  EN Punta Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,200,000",22248000.0,196,196,3,,,56299207
275,Departamento - Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-57365919.html,"Zona Hotelera Departamento en Venta,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 320,000",5932800.0,,,2,,,57365919
276,"Desarrollo, Puerto Cancún, Quintana Roo",https://www.inmuebles24.com/propiedades/desarrollo-puerto-cancun-quintana-roo-53783231.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,429,300",8429300.0,153,153,2,,2,53783231
277,Departamento en Venta en Sls Harbour Beach Cancún,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-sls-harbour-beach-cancun-56808954.html,"Departamento en Venta en SLS Harbour Beach Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 987,654",18311105.16,,,2,,2,56808954
278,Condominio con Vistas Panorámicas y Amenidades de Lujo en Puerto Cancun,https://www.inmuebles24.com/propiedades/condominio-con-vistas-panoramicas-y-amenidades-de-lujo-57211043.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 14,130,000",14130000.0,256,256,3,,,57211043
279,"Departamento en Venta Isla Dorada Frente a Canal, en Cancun",https://www.inmuebles24.com/propiedades/departamento-en-venta-isla-dorada-frente-a-canal-en-56946846.html,"Departramento en Venta  Frente al Canal  en Isla Dorada, Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 560,000",10382400.0,255,255,3,,2,56946846
280,Departamento en Venta Cancún Be Towers C2353,https://www.inmuebles24.com/propiedades/departamento-en-venta-cancun-be-towers-c2353-55437771.html,"Puerto Cancún 0,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,798,640",11798640.0,280,280,3,,2,55437771
281,Departamento Las Olas Cancún,https://www.inmuebles24.com/propiedades/departamento-las-olas-cancun-56021272.html,"Departamento Las Olas Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,300,000",42642000.0,334,334,3,,,56021272
282,Departamento en Venta Cancún Be Towers C2351,https://www.inmuebles24.com/propiedades/departamento-en-venta-cancun-be-towers-c2351-55437800.html,"Puerto Cancún 0,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,798,640",11798640.0,280,280,2,,2,55437800
283,Departamento en Venta en Cancún/ Zona Hotelera/bay View Grand,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-bay-57036760.html,"Departamento en Venta en Cancun Zona Hotelera/bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,200,000",22248000.0,225,225,4,,2,57036760
284,Departamento en Venta en Cancun en Sls Cancun de 2 Recamaras Re Venta,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-en-sls-cancun-de-2-55673187.html,"SLS Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 34,000,000",34000000.0,220,220,2,,2,55673187
285,Departamentos Nuevos en Venta y Renta en La Entrada de Zona Hotelera,https://www.inmuebles24.com/propiedades/departamentos-nuevos-en-venta-y-renta-en-la-entrada-de-53731259.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,600,000",6600000.0,190,190,3,,2,53731259
286,Departamento en Venta con Vista Al Mar en Residencial Maioris,https://www.inmuebles24.com/propiedades/departamento-en-venta-con-vista-al-mar-en-residencial-56371382.html,"Departamento en Venta con Vista al Mar en Residencial  Maioris,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 950,000",17613000.0,350,350,4,,3,56371382
287,"Departamento en Venta Torre Laguna, Zona Hotelera Cancún.",https://www.inmuebles24.com/propiedades/departamento-en-venta-torre-laguna-zona-hotelera-56809103.html,"Departamento en Venta Torre Laguna, Zona Hotelera Cancún.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 190,466",3531239.6399999997,,,1,,1,56809103
288,Venta de Espectacular Departamento en Cancun,https://www.inmuebles24.com/propiedades/venta-de-espectacular-departamento-en-cancun-54785318.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 862,721",15994847.34,193,193,3,,,54785318
289,Condominio con Vista a La Playa y Al Campo de Golf en Cancun.,https://www.inmuebles24.com/propiedades/condominio-con-vista-a-la-playa-y-al-campo-de-golf-en-53548900.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 826,784",15328575.36,190,190,2,,1,53548900
290,Departamento en Venta en Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zona-hotelera-57105511.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,800,000",4800000.0,73,73,1,,,57105511
291,Fabuloso Departamento en Be Towers / Fabulous Apartment,https://www.inmuebles24.com/propiedades/fabuloso-departamento-en-be-towers-fabulous-55984911.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 12,180,000",12180000.0,280,234,3,,2,55984911
292,Venta de Departamento en Mahahual Cancun Quintana Roo,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-mahahual-cancun-quintana-roo-56799536.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 95,000",1761300.0,147,147,1,,2,56799536
293,"Zona Turistica Departamento en Preventa, Cancun",https://www.inmuebles24.com/propiedades/zona-turistica-departamento-en-preventa-cancun-54343686.html,"El Table,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 2,950,000",2950000.0,83,83,1,,1,54343686
294,"Isla Dorada, Isla Paraiso, Departamento en Venta de 2 Recámaras con Muelle. Isla Dorada, Zona Hotele",https://www.inmuebles24.com/propiedades/isla-dorada-isla-paraiso-departamento-en-venta-de-2-56167900.html,"Isla Dorada , Isla Paraiso, Departamento en Venta de 2 Recámaras con Muelle. Zona Hotelera, Cancún, Quintana Roo,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 350,000",6489000.0,181,181,2,,2,56167900
