,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
0,Riva Puerto Cancún,https://www.inmuebles24.com/propiedades/riva-puerto-cancun-54822695.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,900,000",9900000.0,,,,,,54822695
1,Departamento en Venta en Cancún Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57363378.html,"Departamento en Venta en Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 650,000",12051000.0,,,3,,,57363378
2,Be Towers Puerto Cancun Venta,https://www.inmuebles24.com/propiedades/be-towers-puerto-cancun-venta-53697814.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,000,000",9000000.0,214,214,3,,2,53697814
3,Zona Hotelera Nuevo Proyecto con Vista Al Mar Frente a Playa Tortuga,https://www.inmuebles24.com/propiedades/zona-hotelera-nuevo-proyecto-con-vista-al-mar-frente-a-57248132.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,740,000",4740000.0,96,96,2,,2,57248132
4,"Marea, Puerto Cancún | Elite Residences",https://www.inmuebles24.com/propiedades/marea-puerto-cancun-elite-residences-55734199.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,197,000",11197000.0,200,200,2,,2,55734199
5,Exclusivo Departamento Emerald Zona Hotelera,https://www.inmuebles24.com/propiedades/exclusivo-departamento-emerald-zona-hotelera-57351014.html,"emerald residential,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,825,000",33835500.0,299,299,3,,2,57351014
6,Hermoso Departamento de 2 Recámaras en Puerto Cancún Sky Cancún,https://www.inmuebles24.com/propiedades/hermoso-departamento-de-2-recamaras-en-puerto-cancun-51038142.html,"Av. Bonampak Mz Lte 01 SM 00C, Cancún, Quintana Roo,,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,800,000",6800000.0,160,160,2,,2,51038142
7,Allure Ocean Front Luxury Condos – Puerto Cancun,https://www.inmuebles24.com/propiedades/allure-ocean-front-luxury-condos-puerto-cancun-53780828.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,867,000",13867000.0,233,233,4,,2,53780828
8,Departamento Venta Bay View Grand Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-bay-view-grand-zona-hotelera-cancun-57085263.html,"Departamento Venta BAY View Grand  Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 900,000",16686000.0,240,240,3,,2,57085263
9,Venta de Hermoso Departamento en Zona Hotelera de Cancún,https://www.inmuebles24.com/propiedades/venta-de-hermoso-departamento-en-zona-hotelera-de-57133075.html,"Boulevard Kukulcán km. 11.5, zona hotelera, Cancún ,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 47,900,000",47900000.0,365,365,4,,4,57133075
10,Estudio en Venta en Cancún,https://www.inmuebles24.com/propiedades/estudio-en-venta-en-cancun-57199112.html,"Estudio en Venta en Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 235,000",4356900.0,49,49,1,,,57199112
11,"Marea, Puerto Cancún | Elite Residences",https://www.inmuebles24.com/propiedades/marea-puerto-cancun-elite-residences-53785870.html,"puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,818,000",6818000.0,116,116,1,,2,53785870
12,Departamento Frente Al Mar Venta Bay View Grand Cancun,https://www.inmuebles24.com/propiedades/departamento-frente-al-mar-venta-bay-view-grand-cancun-57085188.html,"Departamento Venta BAY View Grand Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 825,000",15295500.0,240,240,3,,2,57085188
13,Departamento Venta Acuamarina Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-acuamarina-zona-hotelera-cancun-57084998.html,"Departamento Venta Aquamarina Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 180,000",3337200.0,72,,2,,,57084998
14,"Estrene Departamento en La Zona Hotelera, El Table.",https://www.inmuebles24.com/propiedades/estrene-departamento-en-la-zona-hotelera-el-table.-55628700.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,350,000",4350000.0,110,110,2,,2,55628700
15,"Departamento en Venta, Isla Dorada, Zona Hotelera, Cancun",https://www.inmuebles24.com/propiedades/departamento-en-venta-isla-dorada-zona-hotelera-57357805.html,"Isla Dorada,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,800,000",33372000.0,343,343,4,,3,57357805
16,"Depa en Puerto Cancún, Increible Vista a Campo de Golf y Mar Caribe!",https://www.inmuebles24.com/propiedades/depa-en-puerto-cancun-increible-vista-a-campo-de-golf-57352145.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,900,000",9900000.0,34190,34190,3,,2,57352145
17,Renta o Venta Departamento Amueblado Marina Condos Puerto Cancun,https://www.inmuebles24.com/propiedades/renta-o-venta-departamento-amueblado-marina-condos-56015297.html,"Puerto Cancún, Cancún, Quintana Roo,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,000,000",5000000.0,84,75,1,,1,56015297
18,Departamento en Sky Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-en-sky-puerto-cancun-57331276.html,"Av. Bonampak,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,600,000",8600000.0,180,180,3,,2,57331276
19,Departamento en Venta en Cancun/zona Hotelera/villas Marlin,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-villas-57267498.html,"Departamento en Venta en Cancun/zona Hotelera/villas Marlin,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 195,000",3615300.0,44,,1,,1,57267498
20,Playa Tortugas Nueva Preventa con Vista Al Mar en Zona Hotelera,https://www.inmuebles24.com/propiedades/playa-tortugas-nueva-preventa-con-vista-al-mar-en-zona-57248057.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,450,000",4450000.0,99,99,2,,2,57248057
21,Departamento en Venta en Cancún Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57363390.html,"Departamento en Venta en Cancún Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 399,000",7397460.0,,,2,,,57363390
22,Departamento Península Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-peninsula-zona-hotelera-cancun-52534750.html,"PENÍNSULA,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 700,000",12978000.0,275,275,3,,2,52534750
23,"Departamento en Venta Bay View Grand, Zona Hotelera, Cancun",https://www.inmuebles24.com/propiedades/departamento-en-venta-bay-view-grand-zona-hotelera-57357278.html,"Bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 750,000",13905000.0,240,240,3,,,57357278
24,Departamento Venta Portofino Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-portofino-zona-hotelera-cancun-55921183.html,"Departamento Venta Portofino Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,295,000",24009300.0,309,309,4,,2,55921183
25,Departamento Oportunidad Venta Bay View Grand Cancun,https://www.inmuebles24.com/propiedades/departamento-oportunidad-venta-bay-view-grand-cancun-57085277.html,"Departamento Venta BAY View Grand Cancun  3 Recamaras,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 765,000",14183100.0,240,240,3,,2,57085277
26,Depto Duplex en Preventa con Iuminación Natural 360 y Vista Al Mar,https://www.inmuebles24.com/propiedades/depto-duplex-en-preventa-con-iuminacion-natural-360-y-55748019.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 30,960,000",30960000.0,456,356,4,,2,55748019
27,Zona Hotelera Preventa Penthouse con Roof Top Privado Vista Al Mar Frente Playa,https://www.inmuebles24.com/propiedades/zona-hotelera-preventa-penthouse-con-roof-top-privado-57248182.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,990,000",5990000.0,117,117,0,,2,57248182
28,Departamento en Venta en Cancun/zona Hotelera/bay View Grand,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-bay-view-57341479.html,"Departamento en Venta en Cancun/zona Hotelera/bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,500,000",46350000.0,,,4,,2,57341479
29,"Depa de Lujo Puerto Cancún Blume Condo Boutique, Facilidades de Pago",https://www.inmuebles24.com/propiedades/depa-de-lujo-puerto-cancun-blume-condo-boutique-57308149.html,"KM 1.5 BLVD KUKULCAN, Cancún, Quintana Roo,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,000,000",13000000.0,250,250,3,,2,57308149
30,Departamento Venta Aquamarina Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-aquamarina-zona-hotelera-cancun-57162844.html,"Departamento Venta Aquamarina Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 190,000",3522600.0,72,,2,,,57162844
31,"Penthouse Marina Condos Puerto Cancún, Cancun",https://www.inmuebles24.com/propiedades/penthouse-marina-condos-puerto-cancun-cancun-56542560.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,300,000",24102000.0,385,385,4,,3,56542560
32,"Blume Boutique Condos, Puerto Cancun",https://www.inmuebles24.com/propiedades/blume-boutique-condos-puerto-cancun-56667693.html,"Marina Town Center, Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 14,200,000",14200000.0,218,218,3,,3,56667693
33,Zona Hotelera Nuevo Desarrollo con Vista Al Mar Frente a Playa Tortuga,https://www.inmuebles24.com/propiedades/zona-hotelera-nuevo-desarrollo-con-vista-al-mar-frente-57248039.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 4,330,000",4330000.0,93,93,0,,1,57248039
34,X Towers Puerto Cancun,https://www.inmuebles24.com/propiedades/x-towers-puerto-cancun-56669741.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,220,000",13220000.0,457,457,0,,3,56669741
35,"Sls Marina Beach Residences, Cancun",https://www.inmuebles24.com/propiedades/sls-marina-beach-residences-cancun-55625411.html,"NOVO CANCUN,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 637,421",11817785.34,143,143,3,,2,55625411
36,Lujoso Departamento en Venta Marina Condos Puerto Cancún,https://www.inmuebles24.com/propiedades/lujoso-departamento-en-venta-marina-condos-puerto-55541387.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,900,000",6900000.0,113,,2,,2,55541387
37,Departamento en Venta en Cancun Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-57267311.html,"Departamento en Venta en Cancun Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,500,000",46350000.0,540,,4,,,57267311
38,Departamento Doble con 2 Recámaras en Venta en Aquamarina Frente Al Mar:,https://www.inmuebles24.com/propiedades/departamento-doble-con-2-recamaras-en-venta-en-57032859.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 3,549,600",3549600.0,72,72,2,,,57032859
39,Allure Ocean Front Luxury Condos – Puerto Cancun,https://www.inmuebles24.com/propiedades/allure-ocean-front-luxury-condos-puerto-cancun-53913607.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 20,000,000",20000000.0,337,337,4,,2,53913607
40,Estrena Espectacular Departamento en Puerto Cancun,https://www.inmuebles24.com/propiedades/estrena-espectacular-departamento-en-puerto-cancun-56626458.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,717,500",7717500.0,153,153,2,,2,56626458
41,"Kabeek Residencial Departamento en Venta, Puerto Cancun",https://www.inmuebles24.com/propiedades/kabeek-residencial-departamento-en-venta-puerto-56670727.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 15,000,000",15000000.0,295,295,4,,3,56670727
42,"Departamento en Venta, Isla Fuego, Isla Dorada, Zona Hotelera, Cancun",https://www.inmuebles24.com/propiedades/departamento-en-venta-isla-fuego-isla-dorada-zona-57357520.html,"Isla Dorada,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 590,000",10938600.0,156,156,2,,2,57357520
43,Espectacular Oportunidad en Residencial Bvg Cancun en La Orilla del Mar Caribe,https://www.inmuebles24.com/propiedades/espectacular-oportunidad-en-residencial-bvg-cancun-en-55837095.html,"Blvd. kukulcan,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 720,000",13348800.0,185,185,3,,1,55837095
44,PH Triplex en Preventa con Iuminación Natural 360 y Vista Al Mar,https://www.inmuebles24.com/propiedades/ph-triplex-en-preventa-con-iuminacion-natural-360-y-55747978.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 44,850,000",44850000.0,714,464,5,,3,55747978
45,"Penthouse Kaanali Puerto Cancún, Cancún",https://www.inmuebles24.com/propiedades/penthouse-kaanali-puerto-cancun-cancun-56542547.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 32,000,000",32000000.0,328,330,3,,6,56542547
46,"Departamento en Venta Bvg Frente Al Mar Turquesa,",https://www.inmuebles24.com/propiedades/departamento-en-venta-bvg-frente-al-mar-turquesa-52703534.html,"zona hotelera ,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 15,000,000",15000000.0,230,230,3,,2,52703534
47,Departamento Venta Portofino Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-portofino-zona-hotelera-cancun-57085162.html,"Departamento Venta Portofino Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 600,000",11124000.0,177,177,2,,1,57085162
48,"Penthouse en Venta, Bay View Grand, Zona Hotelera, Cancún",https://www.inmuebles24.com/propiedades/penthouse-en-venta-bay-view-grand-zona-hotelera-57358190.html,"Bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,700,000",50058000.0,550,550,4,,2,57358190
49,Allure Condos de Lujo Entrega Inmediata en Puerto Cancun,https://www.inmuebles24.com/propiedades/allure-condos-de-lujo-entrega-inmediata-en-puerto-57308314.html,"KM 1.5 BLVD KUKULCAN, Cancún, Quintana Roo,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 15,000,000",15000000.0,309,309,3,,2,57308314
50,Departamento en Venta en Cancun/zona Hotelera/lahia,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-hotelera-lahia-57114759.html,"Departamento en Venta en Cancun/zona Hotelera/lahia,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,600,000",29664000.0,292,292,3,,,57114759
51,Nuevo Departamento en Isola Puerto Cancun Piso 6,https://www.inmuebles24.com/propiedades/nuevo-departamento-en-isola-puerto-cancun-piso-6-57246273.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,850,000",5850000.0,158,158,2,,2,57246273
52,Departamento en Quintas de Lago Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-en-quintas-de-lago-zona-hotelera-cancun-57085327.html,"Departamento Venta Zona Hotelera Cancun 2 Recamaras,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 260,000",4820400.0,200,200,2,,,57085327
53,Departamento en Preventa con Iuminación Natural 360 y Vista Al Mar,https://www.inmuebles24.com/propiedades/departamento-en-preventa-con-iuminacion-natural-360-y-55747985.html,"Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 14,590,000",14590000.0,256,200,3,,2,55747985
54,"Departamento en Venta, Las Olas, Zona Hotelera, Cancún",https://www.inmuebles24.com/propiedades/departamento-en-venta-las-olas-zona-hotelera-cancun-57358007.html,"Las Olas,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,100,000",38934000.0,320,320,3,,,57358007
55,"Departamento en Venta Las Olas, Zona Hotelera, Cancun",https://www.inmuebles24.com/propiedades/departamento-en-venta-las-olas-zona-hotelera-cancun-57357314.html,"Bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,300,000",42642000.0,320,320,3,,2,57357314
56,Departamento en Venta en Bay View Grand 3 Recámaras Frente Al Mar,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-bay-view-grand-3-recamaras-57032011.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 16,087,500",16087500.0,212,212,3,,2,57032011
57,Departamento Venta Portofino Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-portofino-zona-hotelera-cancun-57085157.html,"Departamento DE 4 Recamaras Venta  Portofino Zona Hotelera Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,150,000",21321000.0,309,309,4,,2,57085157
58,"Departamento Isola, Puerto Cancún. Zona Hotelera.",https://www.inmuebles24.com/propiedades/departamento-isola-puerto-cancun.-zona-hotelera.-57151708.html,"Marina Town Center, Boulevard Kukulcán, km 1.5, Cancún ,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 10,800,000",10800000.0,250,250,4,,4,57151708
59,"Departamento en Venta, Emerald, Zona Hotelera, Cancun",https://www.inmuebles24.com/propiedades/departamento-en-venta-emerald-zona-hotelera-cancun-57356645.html,"Emerald,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,450,000",45423000.0,390,390,4,,,57356645
60,"Frente Al Mar, Departamento Hermoso",https://www.inmuebles24.com/propiedades/frente-al-mar-departamento-hermoso-56320311.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 5,800,000",5800000.0,170,170,1,,2,56320311
61,Departamento Alba Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-alba-puerto-cancun-56442957.html,"PUERTO CANCUN,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,717,500",7717500.0,232,232,3,,2,56442957
62,"Penthouse en Venta, Bay View Grand, Zona Hotelera, Cancún",https://www.inmuebles24.com/propiedades/penthouse-en-venta-bay-view-grand-zona-hotelera-57358172.html,"Bay View Grand,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,700,000",50058000.0,550,550,4,,2,57358172
63,Departamento Frente a Laguna Pok Ta Pok Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-frente-a-laguna-pok-ta-pok-zona-hotelera-57243399.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 155,000",2873700.0,78,78,0,,1,57243399
64,Departamento en Venta Y/o Renta Bay View Grand Cancun,https://www.inmuebles24.com/propiedades/departamento-en-venta-y-o-renta-bay-view-grand-cancun-57082852.html,"Departamento Venta BAY View Grand Cancun 3 Recamaras,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 780,000",14461200.0,240,240,3,,2,57082852
65,Departamento en Venta en Cancun Zona Hotelera/península,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-zona-57358810.html,"Departamento en Venta en Cancun Zona Hotelera/peninsula,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 593,000",10994220.0,,,3,,2,57358810
66,Cancun Towers Torre III,https://www.inmuebles24.com/propiedades/cancun-towers-torre-iii-55785292.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,600,000",7600000.0,1,1,2,,,55785292
67,Departamento en Venta Puerto Cancun Vista Al Mar,https://www.inmuebles24.com/propiedades/departamento-en-venta-puerto-cancun-vista-al-mar-54491331.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,500,000",9500000.0,300,300,3,,2,54491331
68,Departamento Lahia en Renta o Venta,https://www.inmuebles24.com/propiedades/departamento-lahia-en-renta-o-venta-57353466.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,400,000",25956000.0,275,275,3,,2,57353466
69,"Departamento en Venta Vista Al Mar Naima, Cancún.",https://www.inmuebles24.com/propiedades/departamento-en-venta-vista-al-mar-naima-cancun.-56853155.html,"Departamento en Venta Vista al mar Naima, Cancún.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,875,989",34780836.059999995,,,4,,4,56853155
70,Pent House en Cancún,https://www.inmuebles24.com/propiedades/pent-house-en-cancun-56561706.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,700,000",50058000.0,495,495,4,,2,56561706
71,Departamento Venta Bay View Grand Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-venta-bay-view-grand-zona-hotelera-cancun-55921193.html,"Departamento Venta BAY View Grand  Zona Hotelera  Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,200,000",22248000.0,285,285,3,,2,55921193
72,Zona Hotelera Departamento Frente Laguna en Venta,https://www.inmuebles24.com/propiedades/zona-hotelera-departamento-frente-laguna-en-venta-52523168.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 350,000",6489000.0,200,200,3,,2,52523168
73,Venta de Penthouse en Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/venta-de-penthouse-en-zona-hotelera-cancun-56239357.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 450,000",8343000.0,208,208,3,,,56239357
74,Departamento Maioris en Venta,https://www.inmuebles24.com/propiedades/departamento-maioris-en-venta-54368841.html," Av. Bonampak,44, Mza 27, Sm. 3, Lt. 1-2 Puerto Cancun, Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 870,000",16129800.0,350,350,4,,2,54368841
75,"Departamento en Venta en Isla Brujas Zona Hotelera, Cancún",https://www.inmuebles24.com/propiedades/departamento-en-venta-en-isla-brujas-zona-hotelera-56763094.html,"Departamento en Venta en Isla Brujas Zona Hotelera, Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 394,000",7304760.0,,,3,,2,56763094
76,"Puerto Cancún, Departamentos en Preventa",https://www.inmuebles24.com/propiedades/puerto-cancun-departamentos-en-preventa-52947291.html,"Zona Hotelera Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 10,266,000",10266000.0,200,200,3,,2,52947291
77,"Departamento de Lujo en Cancun con Vista Al Mar, y con Las Mejores Amenidades.",https://www.inmuebles24.com/propiedades/departamento-de-lujo-en-cancun-con-vista-al-mar-y-con-55702648.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,722,222",50469995.879999995,372,372,4,,,55702648
78,Sensacional Departamento en Zona Hotelera de Cancun,https://www.inmuebles24.com/propiedades/sensacional-departamento-en-zona-hotelera-de-cancun-54119474.html,"Blvd Kukulcan KM 9.5,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,299,000",24083460.0,285,285,4,,2,54119474
79,Departamento - Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-zona-hotelera-56462549.html,"PH Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 315,000",5840100.0,76,66,3,,1,56462549
80,Penthouse Novo Cancun en Venta,https://www.inmuebles24.com/propiedades/penthouse-novo-cancun-en-venta-57353554.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 2,750,000",2750000.0,467,467,3,,3,57353554
81,"Departamento de 2 Recamaras en Zona de Lujo en Cancun, Frente Al Mar.",https://www.inmuebles24.com/propiedades/departamento-de-2-recamaras-en-zona-de-lujo-en-cancun-55663722.html,"Calle Vialidad, Isla Mujeres Mza. 1, 1, 77400 Cancún, Q.R.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 406,000",7527240.0,238,238,2,,,55663722
82,Departamento en Venta en Puerto Cancun,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-puerto-cancun-55391605.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 607,982",11271986.28,102,102,1,,2,55391605
83,Departamento Bay View Grand 2 Recamaras Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/departamento-bay-view-grand-2-recamaras-zona-hotelera-57085172.html,"Hermoso Departamento Venta BAY View Grand Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 680,000",12607200.0,,,2,,1,57085172
84,Resid. Isla Dorada Z. H. Precioso Depto en Primer Nivel de Dos Plantas 3 Rec,https://www.inmuebles24.com/propiedades/resid.-isla-dorada-z.-h.-precioso-depto-en-primer-57176439.html,"ISLA DORADA,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 7,900,000",7900000.0,235,235,3,,2,57176439
85,Penthouse en Zona Hotelera Cancun,https://www.inmuebles24.com/propiedades/penthouse-en-zona-hotelera-cancun-56723651.html,"Villas Marlin,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 550,000",10197000.0,174,174,2,,2,56723651
86,Departamento en Venta en Cancún Quintana Roo Frente Al Mar,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cancun-quintana-roo-frente-al-56431741.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 13,402,000",13402000.0,206,206,3,,2,56431741
87,"Condominio de Lujo Frente a La Playa, Ubicado en La Zona Mas Exclusiva de Cancun",https://www.inmuebles24.com/propiedades/condominio-de-lujo-frente-a-la-playa-ubicado-en-la-55814689.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 914,375",16952512.5,188,188,3,,,55814689
88,Maralago Zona Hotelera 3 Recamaras,https://www.inmuebles24.com/propiedades/maralago-zona-hotelera-3-recamaras-56946388.html,"Maralago ,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 900,000",16686000.0,300,300,3,,2,56946388
89,Lujoso Departamento de 3 Recamaras en Las Olas Zona Hotelera Cancún,https://www.inmuebles24.com/propiedades/lujoso-departamento-de-3-recamaras-en-las-olas-zona-55524606.html,"Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,450,000",45423000.0,331,331,3,,2,55524606
90,Departamento de 3 Recamaras con Vista Al Mar en La Zona Hotelera de Cancun.,https://www.inmuebles24.com/propiedades/departamento-de-3-recamaras-con-vista-al-mar-en-la-55435546.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 800,000",14832000.0,240,240,3,,,55435546
91,Departamento 2 Recamaras Cancún de Lujo Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-2-recamaras-cancun-de-lujo-zona-hotelera-55059702.html,"Pok ta Pok 2,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 277,000",5135580.0,162,141,2,,2,55059702
92,Depto Sky Residences Puerto Cancun 4 Rec 4.5 Baños Piso 14 Sin Muebles 265 m²,https://www.inmuebles24.com/propiedades/depto-sky-residences-puerto-cancun-4-rec-4.5-banos-55069223.html,"Puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 11,500,000",11500000.0,265,265,4,,2,55069223
93,"Preventa Deptos, en Puerto Cancún Desde 111 m² Hasta 225 m². Desde $300,000 Usd",https://www.inmuebles24.com/propiedades/preventa-deptos-en-puerto-cancun-desde-111-m-sup2-57330704.html,"woha puerto cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 300,000",5562000.0,111,111,2,,2,57330704
94,Expectacular Departamento en Venta Puerto Cancun - Be Towers,https://www.inmuebles24.com/propiedades/expectacular-departamento-en-venta-puerto-cancun-be-55639119.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,500,000",8500000.0,203,203,2,,2,55639119
